,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
175,0.002919171907008,VGG16,0.8954,3,,,0,,0,0,,,,,,
176,0.025367704343796,VGG16_S,0.1,0.9,,,0.7691,,0.7016,0.00455625,,,,,,
177,0.024854318141937,VGG16_S,0.1,0.91,,,0.7691,,0.699655,0.004822608025,,,,,,
178,0.023917143058777,VGG16_S,0.1,0.92,,,0.7691,,0.6954,0.00543169,,,,,,
179,0.023062102580071,VGG16_S,0.0999,0.93,,,0.7692,,0.691975,0.005963700625,,,,,,
180,0.022751585412026,VGG16_S,0.0998,0.94,,,0.7693,,0.68129,0.0077457601,,,,,,
181,0.021888240671158,VGG16_S,0.1007,0.95,,,0.7684,,0.663355,0.011034452025,,,,,,
182,0.020969160461426,VGG16_S,0.1064,0.96,,,0.7627,,0.617325,0.021133890625,,,,,,
183,0.017380205786228,VGG16_S,0.2089,0.97,,,0.6602,,0.49026,0.0288796036,,,,,,
184,0.009005659598112,VGG16_S,0.5719,0.98,,,0.2972,,0.32279,0.0006548481,,,,,,
185,0.003826405116916,VGG16_S,0.8485,0.99,,,0.0206,,0.145465,0.015591268225,,,,,,
186,0.003501180464029,VGG16_S,0.8563,0.992,,,0.0128,,0.10781,0.0090269001,,,,,,
187,0.003288943815231,VGG16_S,0.8615,0.994,,,0.0076,,0.08018,0.0052678564,,,,,,
188,0.003236252756417,VGG16_S,0.8664,0.996,,,0.0027,,0.04062,0.0014379264,,,,,,
189,0.003334030967951,VGG16_S,0.8685,0.998,,,0.0006,,0.01974,0.0003663396,,,,,,
190,0.003314092069864,VGG16_S,0.8709,0.999,,,-0.0018,,0.01709,0.0003568321,,,,,,
191,0.003379196541011,VGG16_S,0.8691,3,,,0,,0,0,,,,,,
192,0.017346113872528,VGG16_XS,0.1639,0.9,,,0.6786,,0.7016,0.000529,,,,,,
193,0.017274162507057,VGG16_XS,0.1714,0.91,,,0.6711,,0.699655,0.000815388025,,,,,,
194,0.017133251988888,VGG16_XS,0.1738,0.92,,,0.6687,,0.6954,0.00071289,,,,,,
195,0.01684851423502,VGG16_XS,0.1913,0.93,,,0.6512,,0.691975,0.001662600625,,,,,,
196,0.016701074433327,VGG16_XS,0.1929,0.94,,,0.6496,,0.68129,0.0010042561,,,,,,
197,0.015991655409336,VGG16_XS,0.209,0.95,,,0.6335,,0.663355,0.000891321025,,,,,,
198,0.01573881136179,VGG16_XS,0.2209,0.96,,,0.6216,,0.617325,1.82756250000012E-05,,,,,,
199,0.015326633656025,VGG16_XS,0.2379,0.97,,,0.6046,,0.49026,0.0130736356,,,,,,
200,0.009512326622009,VGG16_XS,0.6071,0.98,,,0.2354,,0.32279,0.0076370121,,,,,,
201,0.005782988214493,VGG16_XS,0.7403,0.99,,,0.1022,,0.145465,0.001871860225,,,,,,
202,0.00543825302124,VGG16_XS,0.7575,0.992,,,0.085,,0.10781,0.0005202961,,,,,,
203,0.004948894301057,VGG16_XS,0.7846,0.994,,,0.0579,,0.08018,0.0004963984,,,,,,
204,0.004480495807529,VGG16_XS,0.8074,0.996,,,0.0351,,0.04062,3.04704E-05,,,,,,
205,0.003957044500113,VGG16_XS,0.8372,0.998,,,0.0053,,0.01974,0.0002085136,,,,,,
206,0.003865692469478,VGG16_XS,0.843,0.999,,,-0.0005,,0.01709,0.0003094081,,,,,,
207,0.003810944223404,VGG16_XS,0.8425,3,,,0,,0,0,,,,,,
208,0.030169397139549,VGG16_XXS,0.1,0.9,,,0.6877,,0.7016,0.00019321,,,,,,
209,0.029833221316338,VGG16_XXS,0.1,0.91,,,0.6877,,0.699655,0.000142922025,,,,,,
210,0.02939193918705,VGG16_XXS,0.1,0.92,,,0.6877,,0.6954,5.92899999999989E-05,,,,,,
211,0.029539199137688,VGG16_XXS,0.1,0.93,,,0.6877,,0.691975,1.82756249999993E-05,,,,,,
212,0.018082103395462,VGG16_XXS,0.1432,0.94,,,0.6445,,0.68129,0.0013535041,,,,,,
